2378 64860 63584 16272 181 65428 1689
2478 64748 63612 16272 65422 329 65446
2578 65008 63552 16292 65320 65426 64346
2678 64864 63604 16300 65079 142 269
2778 64940 63704 16308 65240 65271 659
2878 64776 63688 16220 65508 282 64586
2978 64516 63636 16276 238 65422 65478
3078 64788 63704 16180 201 208 179
3178 64544 63692 16180 474 203 68
3278 64988 63552 16172 268 280 64699
3378 64784 63596 16232 71 85 321
3478 65008 63472 16096 65384 65517 152
3578 64800 63648 16300 65101 65481 65289
3678 64844 63636 16152 65315 65482 65532
3778 64864 63716 16184 64777 65395 386
3878 64752 63676 16280 6 23 304
3978 64760 63632 16192 255 184 64235
4078 64772 63636 16208 466 252 697
4178 64692 63560 16276 531 137 201
4278 64704 63688 16260 341 411 64339
4378 64796 63632 16168 65400 65467 689
4478 65004 63688 16328 65357 65479 65512
4578 64868 63712 16236 65125 49 65203
4678 64800 63644 16300 65194 65384 28
4778 64876 63624 16224 65277 87 227
4878 64756 63680 16336 184 43 65347
4978 2652 57464 15700 39528 57977 26534
5078 788 55720 11612 43132 6159 50552
5178 324 58164 7216 24978 64138 51774
5278 396 59624 19556 29083 11551 7029
5378 65180 63108 12912 65339 4646 60074
5478 65468 62632 18924 61916 6082 1580
5578 65044 63048 15300 8 1455 8281
5678 63884 63644 11820 4253 57973 32767
5778 63484 59572 16524 60533 13838 46053
5878 63364 61180 16832 61090 3725 51183
5978 61184 60084 16036 64677 65451 3102
6078 62736 61624 16496 65319 65022 4712
6178 64328 61596 14496 4810 2571 60423
6278 65244 62968 16720 1755 64501 62426
6378 64916 63116 15424 592 60631 4166
6478 62108 59632 15548 7961 5732 64333
6578 62324 62568 14364 4208 62603 61657
6678 64964 61500 16688 6574 62783 58392
6778 64456 63400 15620 8004 60841 55591
6878 1020 62064 17644 57952 1004 63736
6978 612 61756 16368 52162 63825 59925
7078 564 60268 16428 58723 42 62824
7178 1764 62200 8576 32767 5969 3353
7278 424 57208 11812 61451 4356 1571
7378 64036 58936 15712 60788 64432 65434
7478 63832 58936 14712 475 57265 65258
7578 65412 59000 15492 1844 57468 6489
7678 64876 61652 14752 2915 64181 6727
7778 304 58576 16348 63657 64754 560
7878 736 61700 13668 63469 61121 3509
7978 64328 55304 15020 51011 60318 4483
8078 824 56640 14224 49856 1958 2366
8178 64716 51788 8616 47554 2210 65338
8278 64788 47524 4920 52075 59906 651
8378 65372 49300 3300 58681 61546 65364
8478 696 49256 2668 58947 64264 65083
8578 65244 48756 1040 57681 64738 64645
8678 1012 48700 64624 59375 59088 445
8778 65516 48524 63980 59123 60242 65365
8878 420 48772 62772 64143 1804 1127
8978 272 49736 62784 181 65280 962
9078 24 48904 62240 63766 61557 65055
9178 65496 49028 61960 64715 62952 65393
9278 65340 49432 62180 63631 65421 266
9378 65292 49356 61812 12 2321 323
9478 65136 49264 61768 936 1353 118
9578 65376 49196 61900 65391 284 65384
9678 160 49380 61940 65438 344 67
9778 224 49480 61860 65104 467 64896
9878 65516 49164 61816 65533 299 65282
9978 336 49288 61940 65488 64101 64958
10078 92 49232 61656 52 32 65195
10178 12 49052 61860 92 64465 65083
10278 65400 49252 61880 65496 1281 65297
10378 364 49144 62200 65422 591 17
10478 432 49344 62000 65154 396 65299
10578 520 48980 61820 65089 163 65078
10678 284 49108 61756 65471 383 65443
10778 568 49112 61668 64948 630 246
10878 476 49604 61532 63707 3122 65269
10978 2164 49680 61156 62459 1617 190
11078 1216 49472 60436 64382 264 570
11178 592 49488 60660 65223 64345 180
11278 948 49476 60232 65163 64431 390
11378 1120 49688 60124 65344 64937 241
11478 716 49736 60240 137 64197 65513
11578 884 49636 60192 20 65176 65481
11678 928 49880 59936 65377 65334 65249
11778 776 49816 60224 65261 64548 65197
11878 804 49816 60076 64916 65504 65444
11978 520 49788 59756 64977 64684 65231
12078 592 49708 59608 65457 64484 65508
12178 968 49992 59848 65231 63696 65268
12278 928 49796 59692 65455 64354 65309
12378 992 50092 59812 65154 13 65395
12478 772 50168 59584 65503 216 65442
12578 772 49920 59444 65135 65346 65266
12678 672 49740 59316 65522 65483 65357
12778 712 49984 59584 65370 348 98
12878 1036 50332 59588 64808 598 281
12978 1000 49648 59164 64212 65074 208
13078 788 50248 58940 65164 64114 65365
13178 916 50072 58812 65346 64936 65295
13278 364 50028 58744 65049 64811 65127
13378 256 50236 58588 64808 65125 65168
13478 520 50212 58552 65239 65043 65502
13578 536 50492 58368 65021 64999 65533
13678 604 50464 58276 55 378 75
13778 748 50480 58232 65076 64447 65340
13878 324 50476 58112 65055 64735 65334
13978 332 50184 58036 65244 64716 65337
14078 212 50452 57876 64969 63627 65093
14178 28 50496 57944 65146 64322 65334
14278 144 50740 57924 148 1212 189
14378 140 50664 57928 65202 123 184
14478 132 50612 57864 65305 595 347
14578 280 50636 57828 65255 64872 91
14678 156 50964 57896 65131 1294 319
14778 65464 50676 57568 64901 65505 133
14878 116 50696 57272 65531 65155 65354
14978 24 50772 57524 189 64972 65411
15078 96 50800 57508 65446 65292 65434
15178 168 50780 57520 65400 65086 65424
15278 65320 50576 57628 196 444 26
15378 116 50584 57508 50 64628 65437
15478 65340 50692 57708 65327 176 4
15578 0 50552 57664 65408 65514 65362
15678 65436 50716 57672 52 65356 65419
15778 65428 50672 57508 65475 65521 65422
15878 65260 50424 57456 65500 65111 65301
15978 65320 50720 57600 65414 64789 65258
16078 65288 50516 57568 65465 65365 65513
16178 248 50720 57632 164 64884 65358
16278 65236 50836 57804 265 312 152
16378 65100 50816 57692 319 422 65367
16478 340 50924 57936 3536 5729 64463
16578 784 51140 56824 28659 25297 59743
16678 6464 35824 8264 32767 52384 49155
16778 8384 53536 13500 2902 3620 53967
16878 3084 54612 18888 31715 62189 18011
16978 520 58164 13028 6001 887 65450
17078 1792 57628 15880 1420 16962 59739
